guest_id,country,loyalty_tier,total_stays,total_spend_eur,avg_lead_time_days,preferred_segment,enrolled_date,email_opt_in
G001199,USA,Bronze,1,322.97,8,Online TA,2016-05-09,N
G001200,PRT,Bronze,3,342.38,113,Corporate,2015-04-09,Y
G001201,ITA,Platinum,80,25932.02,23,Corporate,2022-10-25,Y
G001202,PRT,Silver,6,2090.5,16,Complementary,2018-12-24,N
G001203,FRA,Gold,24,6829.64,100,Online TA,2023-02-12,Y
G001204,USA,Bronze,1,261.95,55,Offline TA/TO,2019-12-02,Y
G001205,ITA,Silver,6,961.7,13,Groups,2020-10-21,N
G001206,ESP,Bronze,2,182.64,62,Groups,2018-02-13,N
G001207,USA,Bronze,2,307.88,35,Online TA,2018-03-27,N
G001208,CHN,Platinum,49,5189.76,114,Groups,2023-06-19,Y
G001209,PRT,Bronze,1,81.8,54,Online TA,2018-02-28,N
G001210,GBR,Silver,5,1639.29,63,Corporate,2020-07-13,N
G001211,ESP,Bronze,1,296.98,100,Direct,2018-09-01,Y
G001212,ITA,Silver,7,1895.87,11,Corporate,2016-02-16,N
G001213,NLD,Bronze,3,439.19,55,Online TA,2022-07-21,Y
G001214,ESP,Bronze,1,156.3,88,Direct,2020-10-15,Y
G001215,PRT,Bronze,1,271.7,60,Complementary,2017-12-13,N
G001216,FRA,Silver,9,2009.02,119,Offline TA/TO,2017-08-07,N
G001217,DEU,Silver,10,2267.22,19,Online TA,2016-04-05,N
G001218,USA,Bronze,2,222.54,47,Complementary,2016-04-10,N
G001219,ESP,Silver,5,1211.43,10,Offline TA/TO,2018-01-02,Y
G001220,ITA,Gold,28,4217.74,59,Corporate,2019-12-16,N
G001221,PRT,Bronze,1,171.76,46,Corporate,2019-08-06,Y
G001222,NLD,Silver,8,2687.42,85,Offline TA/TO,2016-06-13,Y
G001223,ITA,Platinum,42,12210.12,52,Groups,2015-09-17,Y
G001224,BRA,Silver,8,2450.4,117,Complementary,2017-07-28,N
G001225,ESP,Gold,24,5503.12,8,Direct,2015-03-24,Y
G001226,ESP,Silver,4,645.58,87,Complementary,2017-10-09,Y
G001227,DEU,Bronze,1,115.42,117,Direct,2015-11-10,Y
G001228,CHN,Silver,10,839.8,84,Online TA,2016-01-27,N
G001229,PRT,Bronze,3,584.37,45,Offline TA/TO,2020-02-23,Y
G001230,GBR,Bronze,3,475.9,35,Corporate,2021-04-16,N
G001231,USA,Bronze,3,549.75,100,Corporate,2019-03-07,Y
G001232,USA,Bronze,3,602.14,79,Direct,2022-03-17,N
G001233,USA,Bronze,3,408.22,82,Online TA,2015-12-10,Y
G001234,USA,Bronze,2,191.82,39,Corporate,2018-06-29,N
G001235,DEU,Gold,29,9143.28,95,Online TA,2023-06-20,N
G001236,USA,Silver,9,1841.13,72,Groups,2023-04-18,Y
G001237,PRT,Gold,13,1486.76,27,Groups,2023-05-23,Y
G001238,USA,Bronze,2,638.17,28,Complementary,2020-11-18,N
G001239,BRA,Bronze,3,480.37,44,Complementary,2022-08-03,N
G001240,CHN,Silver,6,709.26,94,Online TA,2021-11-19,N
G001241,FRA,Silver,7,2329.42,28,Groups,2023-01-07,N
G001242,PRT,Bronze,2,196.21,46,Complementary,2017-02-07,Y
G001243,USA,Silver,7,675.49,83,Online TA,2015-10-01,N
G001244,BRA,Silver,6,924.82,81,Complementary,2018-06-06,N
G001245,ESP,Silver,6,1519.39,16,Groups,2016-09-16,Y
G001246,CHN,Silver,5,571.05,82,Complementary,2023-08-04,N
G001247,PRT,Bronze,3,409.54,107,Online TA,2017-06-05,Y
G001248,PRT,Gold,15,3125.63,48,Direct,2015-08-02,Y
G001249,GBR,Silver,7,1131.84,37,Groups,2019-05-30,N
G001250,ITA,Silver,7,2145.05,74,Direct,2021-10-15,Y
G001251,CHN,Platinum,49,15031.56,63,Corporate,2022-10-18,N
G001252,ITA,Silver,7,607.81,116,Corporate,2023-08-23,N
G001253,FRA,Silver,8,1466.11,102,Direct,2017-03-13,N
G001254,ITA,Bronze,1,168.68,39,Groups,2015-02-23,N
G001255,DEU,Bronze,2,183.72,42,Complementary,2015-08-23,Y
G001256,CHN,Gold,25,3172.95,110,Direct,2015-06-06,N
G001257,GBR,Bronze,3,307.09,14,Corporate,2022-02-24,Y
G001258,ITA,Bronze,3,509.46,97,Online TA,2021-07-31,N
G001259,CHN,Silver,7,682.76,25,Complementary,2017-12-28,Y
G001260,BRA,Bronze,1,265.95,29,Complementary,2023-05-18,Y
G001261,GBR,Bronze,3,617.66,79,Corporate,2015-12-28,Y
G001262,PRT,Gold,13,2154.43,105,Online TA,2023-11-05,Y
G001263,ESP,Bronze,2,326.2,102,Complementary,2016-06-27,N
G001264,ITA,Bronze,3,353.75,59,Online TA,2017-02-10,N
G001265,USA,Gold,19,2877.12,52,Groups,2019-01-29,N
G001266,NLD,Silver,7,2354.87,56,Online TA,2021-01-12,Y
G001267,CHN,Platinum,57,9826.17,77,Complementary,2023-11-28,N
G001268,GBR,Bronze,1,150.43,73,Complementary,2022-01-29,Y
G001269,NLD,Bronze,2,464.44,11,Offline TA/TO,2022-11-12,Y
G001270,GBR,Silver,5,851.86,30,Offline TA/TO,2018-06-08,Y
G001271,USA,Bronze,1,298.49,82,Groups,2022-10-15,N
G001272,NLD,Silver,10,2753.11,50,Corporate,2022-08-11,N
G001273,DEU,Bronze,1,193.67,80,Corporate,2021-08-26,Y
G001274,NLD,Bronze,1,133.58,103,Online TA,2016-06-16,N
G001275,USA,Silver,4,1185.61,57,Online TA,2020-03-01,Y
G001276,ESP,Silver,5,508.51,116,Online TA,2019-11-24,Y
G001277,FRA,Silver,9,732.02,51,Direct,2020-04-12,N
G001278,GBR,Silver,9,2436.12,56,Online TA,2018-07-27,Y
G001279,ITA,Bronze,2,448.42,69,Complementary,2023-04-21,Y
G001280,CHN,Bronze,3,533.45,112,Direct,2021-11-05,N
G001281,ESP,Gold,15,1961.28,45,Corporate,2016-01-16,N
G001282,USA,Bronze,1,163.99,11,Offline TA/TO,2019-09-24,Y
G001283,ITA,Bronze,3,893.05,94,Complementary,2016-02-20,N
G001284,BRA,Gold,21,4938.45,94,Corporate,2015-02-17,N
G001285,DEU,Silver,7,1132.58,101,Complementary,2016-04-19,N
G001286,GBR,Silver,9,3081.4,107,Online TA,2019-10-03,N
G001287,NLD,Gold,11,3696.16,40,Online TA,2020-10-10,N
G001288,USA,Bronze,2,628.66,53,Direct,2021-09-20,N
G001289,FRA,Bronze,2,453.08,44,Offline TA/TO,2019-09-05,Y
G001290,PRT,Bronze,2,352.91,75,Complementary,2019-06-11,Y
G001291,BRA,Bronze,3,752.67,42,Offline TA/TO,2020-02-20,Y
G001292,ITA,Gold,27,2456.27,54,Direct,2016-08-24,Y
G001293,PRT,Bronze,3,582.25,30,Complementary,2017-11-18,Y
G001294,NLD,Gold,17,5926.68,72,Groups,2023-11-26,Y
G001295,BRA,Silver,6,828.64,42,Complementary,2022-09-22,Y
G001296,DEU,Bronze,3,976.89,41,Direct,2019-07-26,Y
G001297,NLD,Bronze,2,304.21,108,Complementary,2018-07-27,Y
G001298,DEU,Bronze,1,97.21,100,Complementary,2021-10-31,N
G001299,CHN,Silver,8,1480.33,8,Offline TA/TO,2018-10-27,N
G001300,FRA,Bronze,2,273.74,93,Corporate,2017-11-13,N
G001301,CHN,Bronze,3,307.3,54,Offline TA/TO,2018-04-10,N
G001302,NLD,Bronze,2,497.1,62,Corporate,2023-07-31,Y
G001303,CHN,Silver,8,1450.61,23,Corporate,2021-10-22,Y
G001304,FRA,Bronze,1,128.23,105,Complementary,2019-07-01,N
G001305,ITA,Bronze,1,166.24,87,Direct,2022-06-13,N
G001306,USA,Silver,7,1495.23,43,Corporate,2016-10-04,Y
G001307,GBR,Bronze,1,257.17,56,Groups,2022-04-29,N
G001308,NLD,Platinum,59,6927.45,71,Direct,2021-09-21,N
G001309,USA,Gold,18,4206.83,94,Direct,2019-02-25,Y
G001310,FRA,Silver,7,2191.9,65,Offline TA/TO,2023-02-09,Y
G001311,PRT,Bronze,3,477.32,33,Groups,2020-03-03,N
G001312,CHN,Bronze,3,1027.97,89,Direct,2021-10-10,N
G001313,PRT,Gold,25,2046.46,94,Complementary,2019-07-23,N
G001314,CHN,Gold,24,7644.15,22,Complementary,2023-09-16,Y
G001315,PRT,Bronze,3,910.93,53,Corporate,2023-01-14,N
G001316,NLD,Bronze,1,284.64,103,Direct,2023-02-05,Y
G001317,ESP,Bronze,3,884.4,40,Direct,2018-09-13,Y
G001318,USA,Bronze,3,517.38,49,Corporate,2022-11-05,N
G001319,PRT,Silver,4,883.52,35,Offline TA/TO,2021-04-27,N
G001320,USA,Silver,9,1874.94,93,Offline TA/TO,2016-09-24,Y
G001321,PRT,Bronze,2,503.85,115,Online TA,2021-07-16,N
G001322,CHN,Bronze,1,281.27,58,Corporate,2021-12-08,Y
G001323,ITA,Platinum,95,15661.7,55,Corporate,2022-04-09,Y
G001324,GBR,Gold,26,2179.91,50,Online TA,2018-06-20,Y
G001325,USA,Bronze,2,352.51,79,Complementary,2015-02-19,Y
G001326,ITA,Silver,9,2242.16,71,Direct,2018-01-16,Y
G001327,DEU,Platinum,97,14254.39,109,Complementary,2017-01-18,Y
G001328,DEU,Bronze,3,1033.3,77,Offline TA/TO,2016-01-10,Y
G001329,ESP,Silver,5,482.17,38,Groups,2023-07-17,N
G001330,GBR,Bronze,3,879.91,32,Corporate,2016-04-21,N
G001331,DEU,Bronze,1,241.54,79,Direct,2021-07-10,N
G001332,NLD,Gold,25,5975.33,103,Corporate,2015-01-03,N
G001333,USA,Silver,6,1012.4,72,Offline TA/TO,2022-03-28,N
G001334,CHN,Bronze,3,789.05,46,Complementary,2019-12-08,Y
G001335,CHN,Platinum,71,22805.85,67,Corporate,2016-10-30,Y
G001336,USA,Bronze,2,659.66,50,Complementary,2022-09-14,Y
G001337,DEU,Bronze,1,162.94,47,Groups,2020-04-16,Y
G001338,ESP,Silver,5,837.08,105,Corporate,2023-10-24,Y
G001339,USA,Gold,16,5412.97,90,Groups,2023-11-05,N
G001340,DEU,Silver,5,1661.35,54,Online TA,2018-06-08,N
G001341,BRA,Silver,6,1168.98,104,Corporate,2015-01-24,N
G001342,PRT,Bronze,2,574.21,111,Complementary,2017-04-08,Y
G001343,BRA,Silver,6,1001.39,48,Groups,2021-04-12,Y
G001344,ESP,Silver,8,870.76,27,Offline TA/TO,2023-02-08,N
G001345,USA,Gold,12,3188.48,38,Offline TA/TO,2021-10-21,N
G001346,USA,Bronze,1,225.23,43,Direct,2020-04-16,Y
G001347,NLD,Gold,24,7583.2,45,Groups,2017-03-30,Y
G001348,DEU,Bronze,2,460.6,95,Direct,2016-07-29,Y
G001349,USA,Gold,21,6811.94,102,Online TA,2017-01-24,N
G001350,DEU,Bronze,2,525.94,39,Groups,2023-05-21,Y
G001351,PRT,Bronze,3,892.91,113,Groups,2015-09-04,N
G001352,USA,Bronze,2,586.67,43,Groups,2018-09-29,Y
G001353,CHN,Silver,4,894.3,115,Direct,2021-06-08,N
G001354,USA,Silver,10,3007.94,64,Complementary,2016-09-15,N
G001355,BRA,Bronze,3,667.45,120,Direct,2019-07-03,N
G001356,FRA,Bronze,2,334.09,40,Online TA,2021-07-21,N
G001357,NLD,Silver,9,2890.58,26,Online TA,2023-09-02,Y
G001358,PRT,Bronze,1,242.52,106,Online TA,2021-01-21,N
G001359,ESP,Platinum,60,15462.31,45,Online TA,2019-10-04,N
G001360,USA,Bronze,1,117.07,22,Corporate,2015-04-15,N
G001361,BRA,Gold,23,4614.7,32,Online TA,2023-08-24,N
G001362,CHN,Silver,4,1306.35,22,Online TA,2023-06-27,Y
G001363,ITA,Bronze,2,564.83,60,Online TA,2017-05-11,Y
G001364,USA,Silver,7,771.67,9,Direct,2019-04-06,N
G001365,BRA,Bronze,1,305.86,115,Complementary,2018-05-16,Y
G001366,DEU,Platinum,91,7669.44,100,Complementary,2018-08-17,Y
G001367,FRA,Bronze,1,114.55,24,Complementary,2020-04-08,Y
G001368,FRA,Bronze,1,246.74,60,Online TA,2016-12-16,Y
G001369,PRT,Silver,5,1461.85,70,Online TA,2018-06-07,N
G001370,ITA,Silver,8,2331.86,10,Corporate,2015-05-21,Y
G001371,GBR,Gold,23,2894.09,8,Offline TA/TO,2017-07-01,Y
G001372,CHN,Bronze,1,345.51,63,Online TA,2021-10-06,Y
G001373,ITA,Bronze,2,514.44,85,Complementary,2023-01-13,Y
G001374,CHN,Bronze,3,341.92,23,Online TA,2017-07-12,Y
G001375,DEU,Silver,7,1032.08,30,Complementary,2022-05-24,N
G001376,DEU,Bronze,2,439.13,104,Online TA,2018-09-05,N
G001377,ESP,Bronze,1,250.61,30,Direct,2016-08-08,Y
G001378,USA,Gold,23,1912.73,68,Offline TA/TO,2017-02-08,N
G001379,GBR,Bronze,1,227.39,102,Offline TA/TO,2022-05-08,N
G001380,USA,Bronze,1,288.44,91,Direct,2022-06-29,N
G001381,CHN,Silver,4,1013.68,23,Direct,2017-07-19,N
G001382,DEU,Gold,20,6315.86,64,Corporate,2021-03-16,Y
G001383,ESP,Platinum,96,12731.24,106,Direct,2017-03-24,N
G001384,CHN,Silver,8,741.51,53,Groups,2017-08-01,Y
G001385,FRA,Bronze,1,307.67,76,Groups,2019-10-03,Y
G001386,USA,Bronze,2,684.88,66,Offline TA/TO,2016-07-11,N
G001387,NLD,Bronze,2,272.73,83,Direct,2015-08-31,N
G001388,FRA,Bronze,2,371.27,89,Corporate,2019-05-21,Y
G001389,BRA,Bronze,2,235.84,22,Complementary,2023-04-18,Y
G001390,GBR,Bronze,1,82.91,73,Offline TA/TO,2020-11-17,Y
G001391,GBR,Silver,7,1124.77,76,Complementary,2021-11-03,N
G001392,DEU,Bronze,3,549.02,21,Complementary,2020-03-25,N
G001393,GBR,Silver,9,1265.86,18,Complementary,2021-10-07,N
G001394,GBR,Bronze,3,285.89,117,Offline TA/TO,2023-02-13,N
G001395,DEU,Gold,21,5461.77,52,Direct,2015-02-22,Y
G001396,BRA,Silver,5,698.87,92,Offline TA/TO,2016-03-01,N
G001397,BRA,Silver,7,2205.04,12,Groups,2016-03-17,Y
G001398,NLD,Silver,10,2366.33,60,Corporate,2023-01-21,Y
G001399,BRA,Bronze,2,180.13,111,Complementary,2023-05-08,N
G001400,ITA,Silver,5,432.59,19,Offline TA/TO,2019-08-16,Y
G001401,ESP,Silver,6,2057.2,42,Corporate,2023-10-16,Y
G001402,CHN,Bronze,3,409.6,89,Offline TA/TO,2023-04-22,N
G001403,NLD,Silver,10,1701.16,75,Complementary,2017-07-21,N
G001404,USA,Gold,13,2138.36,88,Online TA,2023-06-26,N
G001405,ITA,Bronze,3,892.78,103,Online TA,2016-11-21,N
G001406,CHN,Bronze,1,269.06,44,Groups,2021-01-13,Y
G001407,NLD,Bronze,3,313.34,119,Complementary,2019-07-16,N
G001408,BRA,Bronze,2,231.84,20,Complementary,2023-12-15,N
G001409,ESP,Silver,6,1818.34,77,Online TA,2022-06-27,N
G001410,USA,Bronze,1,316.29,89,Online TA,2016-08-18,Y
G001411,BRA,Bronze,1,306.24,78,Groups,2021-05-15,Y
G001412,ITA,Bronze,3,844.9,109,Offline TA/TO,2019-11-02,N
G001413,FRA,Bronze,1,100.8,48,Complementary,2017-10-08,Y
G001414,NLD,Bronze,3,493.92,36,Complementary,2018-11-27,Y
G001415,USA,Bronze,3,741.23,82,Corporate,2015-09-22,Y
G001416,FRA,Bronze,2,417.38,15,Complementary,2018-12-22,Y
G001417,USA,Platinum,34,9270.96,62,Complementary,2023-07-28,Y
G001418,DEU,Platinum,70,15775.68,49,Online TA,2021-05-23,N
G001419,NLD,Bronze,3,938.81,13,Complementary,2023-06-18,N
G001420,FRA,Silver,8,1533.62,100,Online TA,2017-10-16,Y
G001421,GBR,Gold,26,4409.17,58,Groups,2022-11-11,N
G001422,FRA,Gold,26,8027.8,19,Offline TA/TO,2018-12-25,Y
G001423,ESP,Silver,7,1052.36,36,Offline TA/TO,2022-04-05,Y
G001424,PRT,Bronze,1,317.41,78,Direct,2022-08-28,N
G001425,DEU,Bronze,1,168.25,10,Groups,2021-04-26,N
G001426,ESP,Gold,30,3872.47,51,Direct,2022-08-30,Y
G001427,USA,Silver,5,1084.89,10,Groups,2015-06-08,Y
G001428,NLD,Gold,14,3701.86,73,Online TA,2016-02-13,N
G001429,CHN,Bronze,1,330.72,113,Corporate,2023-10-17,N
G001430,FRA,Gold,13,1904.24,37,Corporate,2017-02-10,N
G001431,GBR,Bronze,1,308.9,91,Complementary,2018-08-05,N
G001432,ESP,Silver,5,582.89,44,Complementary,2019-10-13,N
G001433,CHN,Bronze,1,108.17,68,Groups,2019-05-12,N
G001434,ESP,Bronze,2,608.88,18,Offline TA/TO,2021-08-03,Y
G001435,DEU,Silver,4,370.98,56,Online TA,2018-12-11,Y
G001436,FRA,Gold,24,5315.42,72,Offline TA/TO,2022-08-21,Y
G001437,GBR,Gold,16,4357.61,98,Online TA,2020-07-21,Y
G001438,GBR,Silver,4,542.51,44,Direct,2017-09-11,N
G001439,BRA,Platinum,78,25564.31,12,Online TA,2016-08-03,Y
G001440,DEU,Silver,7,947.22,59,Complementary,2015-02-11,N
G001441,PRT,Gold,17,2523.22,87,Complementary,2019-06-08,Y
G001442,GBR,Silver,5,1260.76,27,Corporate,2015-09-30,Y
G001443,DEU,Silver,9,1412.08,43,Groups,2017-12-07,Y
G001444,USA,Silver,10,2297.82,32,Online TA,2020-10-23,Y
G001445,FRA,Bronze,1,304.94,17,Complementary,2015-10-04,Y
G001446,PRT,Bronze,2,482.38,91,Groups,2023-08-07,Y
G001447,ITA,Silver,6,2016.71,117,Offline TA/TO,2016-12-19,N
G001448,DEU,Bronze,3,364.01,71,Direct,2017-07-11,Y
G001449,GBR,Silver,9,2837.35,114,Online TA,2021-09-30,N
G001450,GBR,Silver,8,880.55,59,Groups,2020-12-28,Y
G001451,GBR,Silver,9,813.38,94,Online TA,2015-01-25,N
G001452,PRT,Bronze,1,311.39,79,Groups,2015-10-30,Y
G001453,BRA,Silver,8,2120.92,64,Complementary,2017-08-31,N
G001454,FRA,Silver,9,2954.21,65,Groups,2019-01-15,Y
G001455,FRA,Bronze,3,1049.3,54,Complementary,2015-03-27,N
G001456,CHN,Gold,25,6797.13,116,Online TA,2019-07-06,Y
G001457,USA,Gold,23,7327.29,100,Corporate,2019-12-24,N
G001458,ESP,Bronze,2,550.59,38,Online TA,2022-12-28,Y
G001459,CHN,Silver,9,2907.86,117,Corporate,2019-03-16,N
G001460,DEU,Bronze,1,256.1,113,Groups,2019-08-16,Y
G001461,BRA,Bronze,2,666.05,30,Corporate,2015-04-08,Y
G001462,NLD,Bronze,3,759.4,107,Online TA,2016-09-09,N
G001463,NLD,Bronze,1,165.38,74,Complementary,2022-01-16,Y
G001464,PRT,Silver,4,1313.79,49,Direct,2018-07-07,N
G001465,ITA,Bronze,1,177.99,81,Corporate,2020-04-29,N
G001466,FRA,Silver,6,1939.32,27,Corporate,2016-04-30,N
G001467,ESP,Bronze,3,798.87,21,Complementary,2016-08-23,N
G001468,FRA,Bronze,1,182.43,105,Direct,2021-07-28,N
G001469,USA,Gold,16,5142.03,92,Groups,2018-11-09,N
G001470,BRA,Platinum,48,11927.44,26,Direct,2023-11-14,Y
G001471,USA,Platinum,76,18449.71,9,Groups,2021-08-14,N
G001472,CHN,Platinum,55,12024.33,10,Corporate,2018-07-28,Y
G001473,BRA,Bronze,1,201.21,50,Direct,2018-01-22,N
G001474,NLD,Silver,8,2523.61,8,Complementary,2021-06-07,Y
G001475,DEU,Bronze,1,89.72,96,Corporate,2018-10-06,N
G001476,DEU,Gold,21,7026.28,77,Online TA,2020-06-25,N
G001477,GBR,Bronze,2,625.2,9,Online TA,2023-07-19,Y
G001478,ESP,Bronze,1,234.42,106,Direct,2015-11-05,Y
G001479,USA,Silver,10,1221.86,87,Offline TA/TO,2023-10-25,Y
G001480,GBR,Silver,9,2950.75,30,Direct,2023-01-20,Y
G001481,BRA,Bronze,3,820.75,48,Complementary,2020-12-08,Y
G001482,NLD,Bronze,1,206.69,117,Direct,2019-12-18,Y
G001483,CHN,Silver,5,594.26,80,Online TA,2022-11-07,Y
G001484,ESP,Silver,5,1420.99,27,Corporate,2022-02-15,N
G001485,ITA,Silver,9,1756.45,101,Online TA,2020-12-13,Y
G001486,GBR,Silver,6,584.74,70,Offline TA/TO,2023-03-22,Y
G001487,GBR,Silver,4,1375.34,47,Groups,2023-08-26,N
G001488,ITA,Silver,9,2486.97,64,Offline TA/TO,2023-04-29,N
G001489,ESP,Bronze,2,454.8,36,Groups,2016-11-29,Y
G001490,BRA,Silver,7,2305.31,66,Corporate,2020-01-27,Y
G001491,BRA,Bronze,2,585.66,118,Complementary,2016-09-03,N
G001492,FRA,Bronze,2,480.19,34,Direct,2015-03-09,N
G001493,FRA,Bronze,2,428.55,45,Groups,2018-02-11,Y
G001494,FRA,Bronze,3,592.44,69,Complementary,2015-09-02,N
G001495,CHN,Platinum,68,8037.53,70,Online TA,2019-09-02,N
G001496,NLD,Bronze,2,500.45,61,Groups,2016-05-14,Y
G001497,USA,Silver,9,1618.05,15,Direct,2020-01-06,N
G001498,USA,Bronze,1,251.15,107,Offline TA/TO,2021-03-23,N
G001499,NLD,Silver,9,3066.1,36,Complementary,2021-08-25,Y
G001500,ITA,Gold,29,9293.06,72,Direct,2019-04-23,Y
G001501,DEU,Silver,8,1941.62,15,Corporate,2019-05-15,Y
G001502,PRT,Silver,9,2780.09,67,Online TA,2017-07-03,Y
G001503,ITA,Bronze,3,874.78,69,Offline TA/TO,2021-10-13,Y
G001504,PRT,Gold,30,4794.52,101,Online TA,2020-11-14,N
G001505,FRA,Bronze,2,300.93,44,Direct,2015-04-29,N
G001506,CHN,Bronze,2,497.98,27,Groups,2019-12-25,N
G001507,USA,Bronze,2,541.4,43,Online TA,2021-07-30,Y
G001508,ITA,Bronze,1,229.2,25,Offline TA/TO,2023-01-30,N
G001509,NLD,Silver,7,896.42,114,Direct,2022-03-21,N
G001510,FRA,Bronze,3,825.45,70,Direct,2015-10-06,Y
G001511,ITA,Bronze,3,851.27,50,Direct,2019-08-18,N
G001512,BRA,Silver,7,1551.64,95,Online TA,2021-02-23,Y
G001513,PRT,Gold,14,1979.56,89,Complementary,2021-04-03,Y
G001514,ESP,Bronze,3,274.16,26,Online TA,2020-08-12,N
G001515,DEU,Bronze,3,653.3,70,Direct,2022-07-05,N
G001516,NLD,Silver,5,681.93,69,Direct,2018-12-02,Y
G001517,CHN,Silver,8,1099.6,7,Complementary,2023-05-07,N
G001518,NLD,Bronze,2,610.8,39,Offline TA/TO,2017-03-12,N
G001519,NLD,Gold,20,1755.61,90,Complementary,2020-09-27,N
G001520,ESP,Bronze,1,280.56,32,Groups,2023-04-02,N
G001521,PRT,Gold,29,5146.15,89,Complementary,2017-07-30,N
G001522,ITA,Bronze,1,303.99,33,Corporate,2023-01-27,N
G001523,USA,Silver,7,2300.35,78,Groups,2018-03-14,Y
G001524,DEU,Bronze,1,311.43,7,Offline TA/TO,2019-12-28,N
G001525,ESP,Silver,4,552.53,61,Complementary,2019-03-08,Y
G001526,DEU,Bronze,3,967.8,25,Offline TA/TO,2020-02-15,Y
G001527,GBR,Bronze,3,381.41,18,Complementary,2017-08-19,N
G001528,NLD,Gold,28,4281.71,68,Direct,2023-03-15,Y
G001529,BRA,Bronze,2,180.07,113,Corporate,2019-08-17,Y
G001530,USA,Platinum,66,17930.45,32,Offline TA/TO,2015-04-10,N
G001531,PRT,Platinum,31,10815.16,118,Groups,2019-11-19,N
G001532,NLD,Silver,10,1782.89,54,Corporate,2020-04-19,Y
G001533,ITA,Bronze,2,238.68,59,Online TA,2021-07-04,N
G001534,USA,Bronze,2,599.68,93,Groups,2019-07-29,N
G001535,ITA,Platinum,48,8153.14,89,Corporate,2020-01-21,Y
G001536,FRA,Gold,15,3387.85,115,Groups,2016-07-25,Y
G001537,CHN,Gold,24,8338.47,12,Groups,2016-03-01,Y
G001538,ITA,Bronze,3,794.05,69,Direct,2018-08-26,N
G001539,BRA,Silver,8,1886.36,95,Direct,2017-07-13,N
G001540,CHN,Bronze,3,963.48,109,Direct,2020-07-21,Y
G001541,ESP,Gold,18,2911.89,76,Complementary,2016-01-31,Y
G001542,GBR,Bronze,1,130.14,15,Offline TA/TO,2020-01-28,Y
G001543,DEU,Bronze,2,536.82,50,Corporate,2019-03-16,Y
G001544,PRT,Bronze,3,790.09,70,Offline TA/TO,2018-12-10,Y
G001545,BRA,Bronze,2,575.69,95,Groups,2021-12-15,N
G001546,USA,Gold,11,994.85,104,Direct,2020-04-29,N
G001547,ITA,Silver,5,912.8,37,Groups,2020-04-06,Y
G001548,GBR,Bronze,3,737.11,8,Complementary,2016-06-09,Y
G001549,NLD,Gold,27,5536.58,56,Groups,2022-05-01,Y
G001550,USA,Bronze,1,126.96,44,Online TA,2015-06-13,N
G001551,USA,Silver,4,535.05,38,Direct,2019-05-06,Y
G001552,NLD,Silver,6,1030.91,115,Corporate,2017-07-25,N
G001553,NLD,Gold,16,1850.24,79,Direct,2019-11-30,N
G001554,ITA,Bronze,3,967.13,88,Groups,2016-03-11,N
G001555,GBR,Bronze,2,196.15,40,Complementary,2019-01-04,N
G001556,NLD,Bronze,1,123.74,30,Complementary,2017-03-15,N
G001557,FRA,Silver,6,1254.17,81,Corporate,2016-04-19,Y
G001558,PRT,Bronze,1,83.02,72,Direct,2016-04-06,N
G001559,USA,Silver,6,1971.59,109,Online TA,2017-02-11,N
G001560,CHN,Bronze,1,229.32,116,Direct,2016-08-21,Y
G001561,GBR,Gold,13,2841.98,79,Online TA,2017-10-08,N
G001562,BRA,Gold,19,1826.12,12,Offline TA/TO,2023-10-03,N
G001563,ESP,Bronze,3,604.36,102,Online TA,2020-05-17,N
G001564,GBR,Silver,5,788.3,62,Groups,2015-05-07,N
G001565,BRA,Bronze,1,179.77,42,Corporate,2022-04-17,N
G001566,USA,Bronze,3,932.86,72,Corporate,2019-05-01,Y
G001567,NLD,Bronze,1,223.84,87,Direct,2017-10-27,N
G001568,ITA,Gold,27,4442.15,37,Groups,2017-02-22,N
G001569,DEU,Platinum,97,25467.06,40,Groups,2019-10-03,Y
G001570,ITA,Silver,10,2655.18,98,Groups,2021-03-14,N
G001571,DEU,Bronze,2,223.29,88,Online TA,2017-04-22,N
G001572,USA,Bronze,3,438.96,98,Offline TA/TO,2021-05-16,N
G001573,BRA,Silver,6,889.11,111,Groups,2019-05-30,Y
G001574,BRA,Bronze,2,436.0,32,Offline TA/TO,2015-07-28,N
G001575,ITA,Silver,8,1584.29,22,Online TA,2017-01-11,Y
G001576,CHN,Bronze,1,109.01,41,Online TA,2023-10-16,Y
G001577,NLD,Gold,17,5451.12,14,Direct,2016-04-01,N
G001578,ESP,Platinum,86,12468.6,86,Groups,2021-05-26,N
G001579,NLD,Gold,18,1551.56,47,Online TA,2016-12-04,N
G001580,NLD,Bronze,3,702.7,41,Corporate,2016-05-25,Y
G001581,FRA,Bronze,2,489.19,35,Offline TA/TO,2016-03-15,Y
G001582,ESP,Bronze,2,400.93,19,Direct,2019-08-01,N
G001583,DEU,Bronze,3,258.65,33,Complementary,2020-07-06,N
G001584,NLD,Silver,6,1288.43,56,Corporate,2021-10-20,Y
G001585,BRA,Bronze,3,376.39,33,Online TA,2018-07-11,N
G001586,USA,Bronze,1,182.45,10,Complementary,2021-04-26,Y
G001587,ITA,Silver,7,1640.43,55,Direct,2020-07-03,N
G001588,DEU,Silver,4,696.09,53,Offline TA/TO,2020-05-14,Y
G001589,PRT,Bronze,3,896.22,55,Offline TA/TO,2015-07-16,Y
G001590,CHN,Bronze,1,147.61,39,Corporate,2016-09-02,N
