Passenger_ID,age,gender,income_level,frequent_flyer_status,satisfaction_segment,total_flights,total_no_shows,no_show_rate,avg_satisfaction,avg_price_paid,total_delay_minutes,preferred_class,preferred_checkin,primary_travel_purpose,preferred_airline
P18,18,Female,Low,Non-Member,Satisfied,1,0,0.0,7.9,439.21,12.0,Premium Economy,Mobile App,Family,JetBlue
P180,46,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.8,428.84,27.0,Premium Economy,Mobile App,Emergency,American Airlines
P1800,23,Female,High,Platinum,Neutral,1,0,0.0,6.0,369.61,2.0,Economy,Airport Kiosk,Leisure,United
P1801,62,Male,Low,Non-Member,Satisfied,1,0,0.0,6.7,304.48,16.0,Economy,Online,Emergency,Delta
P1802,76,Male,Medium,Non-Member,Neutral,1,0,0.0,5.2,488.55,7.0,Premium Economy,Mobile App,Leisure,JetBlue
P1803,61,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.5,367.83,14.0,First,Mobile App,Emergency,United
P1804,42,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.1,374.99,7.0,Economy,Desk,Leisure,American Airlines
P1805,35,Male,Low,Platinum,Neutral,1,0,0.0,6.3,325.01,6.0,Economy,Airport Kiosk,Leisure,Southwest
P1806,28,Male,High,Non-Member,Satisfied,1,0,0.0,7.9,223.08,13.0,Economy,Airport Kiosk,Emergency,United
P1807,77,Female,High,Silver,Highly Satisfied,1,0,0.0,9.0,351.6,13.0,Premium Economy,Desk,Family,Southwest
P1808,68,Female,Low,Silver,Neutral,1,0,0.0,5.7,306.56,10.0,Business,Online,Family,JetBlue
P1809,27,Female,Medium,Silver,Neutral,1,0,0.0,5.6,396.02,6.0,Economy,Desk,Emergency,Southwest
P181,63,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.6,467.42,6.0,Business,Mobile App,Emergency,Delta
P1810,21,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.0,142.51,13.0,Economy,Desk,Leisure,JetBlue
P1811,69,Female,High,Gold,Satisfied,1,0,0.0,7.9,476.97,3.0,Economy,Online,Emergency,United
P1812,43,Female,Low,Silver,Satisfied,1,0,0.0,7.2,281.74,22.0,Economy,Airport Kiosk,Leisure,Delta
P1813,39,Male,Low,Silver,Neutral,1,0,0.0,5.6,374.0,3.0,Economy,Airport Kiosk,Family,JetBlue
P1814,70,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.5,320.6,31.0,Economy,Desk,Leisure,Delta
P1815,76,Female,High,Non-Member,Neutral,1,0,0.0,5.5,241.0,7.0,Premium Economy,Airport Kiosk,Family,Delta
P1816,47,Female,Medium,Non-Member,Neutral,1,0,0.0,5.6,409.03,1.0,Economy,Airport Kiosk,Leisure,Delta
P1817,27,Male,Low,Silver,Satisfied,1,0,0.0,6.5,360.12,0.0,Economy,Desk,Leisure,American Airlines
P1818,46,Female,Low,Gold,Highly Satisfied,1,0,0.0,9.5,564.63,1.0,Business,Airport Kiosk,Leisure,JetBlue
P1819,20,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.1,319.68,38.0,Economy,Mobile App,Family,Delta
P182,47,Male,Medium,Silver,Satisfied,1,0,0.0,7.9,645.14,7.0,Premium Economy,Airport Kiosk,Leisure,United
P1820,68,Male,Low,Silver,Satisfied,1,0,0.0,6.7,222.66,1.0,Economy,Mobile App,Business,Delta
P1821,54,Female,High,Silver,Satisfied,1,0,0.0,6.6,405.26,14.0,Business,Mobile App,Emergency,Southwest
P1822,73,Male,Medium,Non-Member,Dissatisfied,1,0,0.0,3.6,421.58,0.0,Economy,Desk,Business,United
P1823,58,Male,High,Non-Member,Neutral,1,0,0.0,5.2,313.71,2.0,Premium Economy,Airport Kiosk,Leisure,American Airlines
P1824,37,Male,Medium,Gold,Neutral,1,0,0.0,5.6,418.17,26.0,Business,Online,Emergency,American Airlines
P1825,38,Male,Medium,Gold,Neutral,1,0,0.0,5.6,337.34,47.0,Business,Online,Business,Southwest
P1826,58,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,9.0,360.5,8.0,Economy,Airport Kiosk,Business,United
P1827,18,Male,Medium,Silver,Neutral,1,1,1.0,6.2,425.94,10.0,Economy,Desk,Emergency,JetBlue
P1828,73,Male,Low,Non-Member,Satisfied,1,0,0.0,7.7,426.6,5.0,Economy,Desk,Emergency,American Airlines
P1829,61,Male,Medium,Silver,Satisfied,1,0,0.0,6.9,380.63,4.0,Economy,Mobile App,Family,American Airlines
P183,37,Male,Low,Gold,Dissatisfied,1,0,0.0,4.5,391.74,1.0,Premium Economy,Airport Kiosk,Family,United
P1830,44,Male,High,Non-Member,Dissatisfied,1,0,0.0,4.3,216.02,2.0,Economy,Mobile App,Leisure,Southwest
P1831,63,Female,High,Non-Member,Neutral,1,0,0.0,6.1,449.83,10.0,Economy,Airport Kiosk,Family,Southwest
P1832,25,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.6,285.51,28.0,Premium Economy,Airport Kiosk,Emergency,JetBlue
P1833,68,Female,Medium,Silver,Satisfied,1,0,0.0,7.3,495.07,4.0,Business,Airport Kiosk,Emergency,JetBlue
P1834,36,Female,Medium,Gold,Satisfied,1,0,0.0,7.3,239.49,10.0,First,Online,Family,JetBlue
P1835,32,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.4,388.46,24.0,Economy,Desk,Family,Delta
P1836,69,Male,Low,Gold,Satisfied,1,0,0.0,7.0,215.07,3.0,Premium Economy,Online,Business,American Airlines
P1837,59,Female,High,Platinum,Highly Satisfied,1,0,0.0,8.0,384.74,57.0,Economy,Airport Kiosk,Family,JetBlue
P1838,32,Male,Medium,Non-Member,Neutral,1,0,0.0,5.6,249.3,0.0,Economy,Mobile App,Leisure,Delta
P1839,41,Male,Medium,Non-Member,Highly Satisfied,1,1,1.0,8.8,325.97,2.0,Economy,Desk,Leisure,Delta
P184,60,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,9.1,380.6,14.0,Economy,Online,Emergency,Delta
P1840,30,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.9,387.68,18.0,Economy,Desk,Emergency,United
P1841,73,Female,Medium,Non-Member,Neutral,1,0,0.0,5.7,279.85,5.0,Premium Economy,Airport Kiosk,Emergency,JetBlue
P1842,20,Male,Low,Non-Member,Neutral,1,0,0.0,6.4,274.88,7.0,Business,Airport Kiosk,Emergency,American Airlines
P1843,51,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.9,317.06,30.0,Business,Airport Kiosk,Family,Delta
P1844,72,Female,Low,Silver,Highly Satisfied,1,0,0.0,10.0,345.75,13.0,Economy,Desk,Emergency,Southwest
P1845,62,Female,Medium,Gold,Satisfied,1,0,0.0,7.3,245.6,22.0,Premium Economy,Airport Kiosk,Emergency,Southwest
P1846,39,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,4.8,360.96,3.0,Economy,Online,Leisure,Delta
P1847,68,Female,High,Platinum,Neutral,1,0,0.0,5.8,486.47,2.0,Economy,Mobile App,Leisure,Southwest
P1848,73,Female,Low,Gold,Satisfied,1,0,0.0,6.9,226.96,9.0,Premium Economy,Mobile App,Business,JetBlue
P1849,42,Male,High,Non-Member,Neutral,1,0,0.0,5.7,300.16,5.0,Economy,Online,Family,United
P185,51,Male,High,Silver,Highly Satisfied,1,0,0.0,9.0,491.71,4.0,Economy,Airport Kiosk,Business,Delta
P1850,62,Female,Medium,Non-Member,Neutral,1,0,0.0,6.4,242.33,14.0,Economy,Desk,Business,Southwest
P1851,37,Female,Medium,Non-Member,Neutral,1,0,0.0,5.3,296.23,11.0,Premium Economy,Online,Emergency,Southwest
P1852,78,Male,Medium,Gold,Highly Satisfied,1,0,0.0,8.3,338.73,11.0,Economy,Desk,Emergency,Delta
P1853,73,Male,Low,Non-Member,Neutral,1,0,0.0,5.6,320.65,1.0,Premium Economy,Airport Kiosk,Family,JetBlue
P1854,66,Male,Medium,Gold,Satisfied,1,0,0.0,7.2,440.27,15.0,Premium Economy,Desk,Leisure,Southwest
P1855,75,Male,Medium,Silver,Dissatisfied,1,0,0.0,4.5,355.12,8.0,Economy,Online,Leisure,United
P1856,73,Female,Medium,Silver,Satisfied,1,0,0.0,7.5,292.18,1.0,Business,Desk,Family,United
P1857,37,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.4,334.29,15.0,Economy,Desk,Business,American Airlines
P1858,27,Female,Medium,Silver,Satisfied,1,0,0.0,6.8,335.16,26.0,Business,Mobile App,Emergency,JetBlue
P1859,53,Female,Medium,Platinum,Satisfied,1,0,0.0,7.3,293.24,6.0,Economy,Desk,Business,Delta
P186,33,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.2,293.74,6.0,Premium Economy,Desk,Family,American Airlines
P1860,70,Male,Medium,Gold,Dissatisfied,1,0,0.0,4.2,357.34,12.0,Economy,Mobile App,Emergency,Delta
P1861,50,Female,Low,Gold,Neutral,1,1,1.0,5.5,509.34,11.0,Premium Economy,Desk,Family,United
P1862,32,Male,Low,Platinum,Highly Satisfied,1,0,0.0,9.5,481.98,3.0,Economy,Mobile App,Business,American Airlines
P1863,39,Female,Low,Non-Member,Dissatisfied,1,0,0.0,4.4,466.41,2.0,Economy,Online,Leisure,American Airlines
P1864,33,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.6,236.5,19.0,Economy,Desk,Business,American Airlines
P1865,75,Male,High,Silver,Neutral,1,1,1.0,6.2,286.99,10.0,Premium Economy,Airport Kiosk,Business,United
P1866,61,Female,Medium,Silver,Satisfied,1,0,0.0,6.7,406.97,1.0,Premium Economy,Airport Kiosk,Emergency,Southwest
P1867,51,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,4.4,313.04,30.0,Economy,Desk,Business,American Airlines
P1868,60,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.0,172.04,6.0,Economy,Mobile App,Family,JetBlue
P1869,42,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.0,353.19,3.0,Economy,Mobile App,Business,Delta
P187,79,Male,Medium,Platinum,Satisfied,1,0,0.0,7.8,168.45,5.0,Business,Airport Kiosk,Business,United
P1870,55,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.6,447.67,2.0,Premium Economy,Desk,Family,Southwest
P1871,56,Male,Low,Non-Member,Satisfied,1,0,0.0,6.7,556.4,10.0,Economy,Mobile App,Emergency,Delta
P1872,22,Male,Low,Platinum,Satisfied,1,0,0.0,7.9,308.8,0.0,Economy,Mobile App,Emergency,American Airlines
P1873,64,Female,Medium,Silver,Neutral,1,0,0.0,5.9,341.59,0.0,Economy,Airport Kiosk,Leisure,Southwest
P1874,47,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.3,199.88,3.0,Business,Desk,Business,American Airlines
P1875,78,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.2,248.42,8.0,Economy,Mobile App,Business,Southwest
P1876,51,Female,High,Non-Member,Highly Satisfied,1,0,0.0,8.0,235.99,8.0,Business,Desk,Emergency,JetBlue
P1877,60,Male,Low,Platinum,Satisfied,1,0,0.0,7.0,178.16,5.0,First,Mobile App,Emergency,United
P1878,27,Female,Low,Platinum,Highly Satisfied,1,0,0.0,9.2,367.92,5.0,First,Online,Business,United
P1879,29,Female,Medium,Gold,Satisfied,1,0,0.0,7.7,408.35,3.0,Economy,Desk,Business,American Airlines
P188,33,Male,High,Non-Member,Highly Satisfied,1,0,0.0,8.0,492.99,6.0,Business,Online,Emergency,American Airlines
P1880,57,Female,Low,Non-Member,Satisfied,1,0,0.0,7.4,153.48,29.0,Economy,Desk,Emergency,Southwest
P1881,78,Male,High,Silver,Highly Satisfied,1,0,0.0,8.4,381.8,8.0,Economy,Desk,Family,United
P1882,72,Female,Medium,Platinum,Highly Satisfied,1,0,0.0,8.4,286.03,5.0,Economy,Online,Emergency,JetBlue
P1883,69,Male,Medium,Silver,Highly Satisfied,1,0,0.0,9.8,260.13,4.0,Premium Economy,Airport Kiosk,Family,American Airlines
P1884,26,Male,Low,Non-Member,Neutral,1,0,0.0,6.0,389.79,1.0,Premium Economy,Airport Kiosk,Business,JetBlue
P1885,44,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.6,228.6,2.0,Premium Economy,Online,Business,JetBlue
P1886,56,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.8,457.5,3.0,Economy,Mobile App,Leisure,Southwest
P1887,72,Female,Low,Silver,Satisfied,1,0,0.0,7.8,478.1,11.0,Economy,Mobile App,Family,Delta
P1888,30,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.0,346.46,11.0,Premium Economy,Desk,Family,American Airlines
P1889,69,Male,Medium,Non-Member,Dissatisfied,1,0,0.0,4.2,329.12,58.0,Economy,Airport Kiosk,Leisure,JetBlue
P189,72,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.6,155.67,25.0,Business,Online,Emergency,JetBlue
P1890,56,Female,Medium,Non-Member,Neutral,1,0,0.0,6.1,376.96,7.0,Economy,Mobile App,Family,American Airlines
P1891,74,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.2,399.82,4.0,Economy,Desk,Leisure,Southwest
P1892,26,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.8,421.58,19.0,Premium Economy,Airport Kiosk,Family,Delta
P1893,19,Male,Medium,Gold,Satisfied,1,0,0.0,7.9,537.23,10.0,Premium Economy,Airport Kiosk,Family,JetBlue
P1894,29,Male,High,Platinum,Dissatisfied,1,0,0.0,4.8,432.87,24.0,Economy,Mobile App,Emergency,Southwest
P1895,36,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.6,301.96,24.0,Economy,Mobile App,Family,American Airlines
P1896,33,Female,Medium,Silver,Dissatisfied,1,0,0.0,4.9,534.27,1.0,Business,Online,Leisure,American Airlines
P1897,46,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,9.2,476.97,1.0,Economy,Mobile App,Family,Southwest
P1898,50,Male,Medium,Non-Member,Dissatisfied,1,0,0.0,2.8,358.41,2.0,Economy,Desk,Business,Southwest
P1899,26,Female,Low,Non-Member,Satisfied,1,0,0.0,7.8,349.96,14.0,Economy,Online,Emergency,JetBlue
P19,64,Male,Medium,Gold,Satisfied,1,0,0.0,7.9,215.42,4.0,Economy,Airport Kiosk,Emergency,JetBlue
P190,33,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.0,486.76,16.0,Business,Desk,Leisure,United
P1900,52,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.3,361.75,2.0,Economy,Desk,Business,Southwest
P1901,36,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.8,262.94,28.0,Economy,Airport Kiosk,Business,JetBlue
P1902,74,Male,High,Non-Member,Neutral,1,0,0.0,6.1,364.7,3.0,Economy,Online,Business,JetBlue
P1903,18,Male,Low,Silver,Neutral,1,0,0.0,6.2,475.1,1.0,Premium Economy,Mobile App,Emergency,JetBlue
P1904,25,Male,High,Non-Member,Neutral,1,0,0.0,5.1,342.28,8.0,Economy,Online,Leisure,Southwest
P1905,45,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,10.0,308.83,16.0,Economy,Desk,Family,Southwest
P1906,20,Female,High,Non-Member,Dissatisfied,1,1,1.0,4.7,338.33,13.0,Premium Economy,Mobile App,Emergency,Southwest
P1907,50,Male,Medium,Non-Member,Neutral,1,0,0.0,6.0,269.8,9.0,Business,Airport Kiosk,Business,Delta
P1908,56,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.0,341.62,6.0,Economy,Mobile App,Emergency,Delta
P1909,24,Female,Medium,Platinum,Neutral,1,0,0.0,6.0,602.44,12.0,Economy,Airport Kiosk,Emergency,Delta
P191,34,Male,Low,Silver,Satisfied,1,0,0.0,6.6,466.06,1.0,Economy,Desk,Family,Delta
P1910,68,Male,Medium,Non-Member,Neutral,1,0,0.0,5.3,463.93,1.0,Business,Desk,Leisure,American Airlines
P1911,78,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.6,186.29,21.0,Business,Mobile App,Leisure,Delta
P1912,58,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.0,501.86,9.0,Economy,Airport Kiosk,Family,JetBlue
P1913,39,Male,High,Silver,Neutral,1,0,0.0,6.1,268.48,4.0,Economy,Mobile App,Emergency,American Airlines
P1914,18,Female,Low,Non-Member,Neutral,1,0,0.0,6.2,462.25,26.0,Economy,Airport Kiosk,Leisure,United
P1915,27,Female,Medium,Gold,Satisfied,1,0,0.0,7.3,90.99,52.0,Economy,Airport Kiosk,Business,American Airlines
P1916,40,Female,Medium,Gold,Neutral,1,0,0.0,5.7,390.21,5.0,First,Mobile App,Family,United
P1917,65,Male,High,Non-Member,Neutral,1,0,0.0,5.9,88.75,23.0,Economy,Airport Kiosk,Leisure,American Airlines
P1918,20,Female,High,Non-Member,Neutral,1,0,0.0,5.7,401.05,3.0,Business,Mobile App,Emergency,Delta
P1919,50,Male,High,Non-Member,Satisfied,1,0,0.0,7.7,348.65,8.0,Business,Airport Kiosk,Business,Southwest
P192,79,Male,Medium,Gold,Highly Satisfied,1,0,0.0,8.6,573.85,15.0,Business,Mobile App,Emergency,United
P1920,70,Female,Low,Non-Member,Satisfied,1,0,0.0,7.5,529.75,5.0,Business,Airport Kiosk,Emergency,Southwest
P1921,73,Male,Low,Non-Member,Satisfied,1,0,0.0,7.3,424.19,10.0,Business,Airport Kiosk,Business,American Airlines
P1922,40,Male,Medium,Non-Member,Neutral,1,0,0.0,5.5,419.14,4.0,Business,Desk,Family,American Airlines
P1923,27,Female,Medium,Non-Member,Highly Satisfied,1,1,1.0,8.3,325.92,3.0,Economy,Airport Kiosk,Family,United
P1924,24,Female,Medium,Non-Member,Neutral,1,0,0.0,6.3,320.71,5.0,Economy,Airport Kiosk,Emergency,Southwest
P1925,59,Female,Medium,Silver,Satisfied,1,0,0.0,7.8,222.59,13.0,Economy,Mobile App,Business,United
P1926,64,Male,Low,Non-Member,Neutral,1,0,0.0,5.8,217.76,1.0,Business,Desk,Business,American Airlines
P1927,52,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.7,502.43,4.0,Economy,Airport Kiosk,Family,Delta
P1928,30,Female,High,Silver,Highly Satisfied,1,0,0.0,8.0,386.11,8.0,Business,Desk,Business,United
P1929,23,Female,Low,Non-Member,Satisfied,1,0,0.0,7.9,456.83,1.0,Economy,Mobile App,Family,Southwest
P193,56,Male,Low,Platinum,Dissatisfied,1,0,0.0,4.2,330.79,12.0,Economy,Online,Emergency,Delta
P1930,57,Male,Low,Gold,Satisfied,1,0,0.0,7.6,432.6,3.0,Economy,Mobile App,Leisure,United
P1931,18,Female,Medium,Gold,Satisfied,1,0,0.0,7.7,416.4,6.0,Economy,Mobile App,Leisure,Southwest
P1932,27,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.3,344.46,15.0,Economy,Desk,Family,Southwest
P1933,53,Male,Low,Non-Member,Satisfied,1,0,0.0,6.6,409.29,8.0,Economy,Mobile App,Family,Delta
P1934,51,Female,High,Non-Member,Neutral,1,0,0.0,6.0,195.9,5.0,Economy,Online,Emergency,Delta
P1935,31,Male,Medium,Platinum,Dissatisfied,1,0,0.0,4.8,415.27,7.0,Economy,Online,Family,United
P1936,79,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.1,367.15,0.0,Premium Economy,Airport Kiosk,Business,Southwest
P1937,52,Male,Medium,Silver,Neutral,1,0,0.0,5.8,348.07,5.0,First,Online,Family,American Airlines
P1938,32,Female,Medium,Platinum,Highly Satisfied,1,0,0.0,8.3,315.96,7.0,Economy,Online,Leisure,Delta
P1939,65,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.1,196.86,2.0,Economy,Online,Emergency,Southwest
P194,76,Male,Medium,Non-Member,Neutral,1,0,0.0,6.3,183.48,2.0,Economy,Mobile App,Business,Southwest
P1940,19,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.4,292.36,6.0,Economy,Mobile App,Emergency,American Airlines
P1941,51,Female,High,Non-Member,Neutral,1,0,0.0,5.6,433.95,1.0,Economy,Desk,Family,JetBlue
P1942,73,Male,High,Platinum,Neutral,1,0,0.0,5.2,110.63,10.0,Economy,Mobile App,Leisure,Delta
P1943,23,Male,Low,Silver,Highly Satisfied,1,0,0.0,9.3,154.52,18.0,Economy,Airport Kiosk,Business,United
P1944,69,Male,Medium,Non-Member,Neutral,1,0,0.0,6.1,399.69,8.0,Economy,Mobile App,Family,Delta
P1945,24,Female,High,Non-Member,Satisfied,1,0,0.0,7.4,245.58,3.0,Business,Airport Kiosk,Emergency,JetBlue
P1946,47,Male,Medium,Silver,Highly Satisfied,1,0,0.0,8.0,283.29,16.0,Business,Online,Business,Southwest
P1947,52,Male,Low,Silver,Dissatisfied,1,0,0.0,4.0,346.69,12.0,Economy,Desk,Leisure,United
P1948,72,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.1,405.36,9.0,Economy,Online,Family,United
P1949,60,Male,Medium,Silver,Highly Satisfied,1,0,0.0,8.0,430.74,7.0,Economy,Online,Emergency,American Airlines
P195,79,Female,Low,Non-Member,Satisfied,1,0,0.0,7.5,276.86,9.0,Economy,Online,Leisure,JetBlue
P1950,70,Female,High,Silver,Satisfied,1,0,0.0,7.2,468.86,0.0,Economy,Online,Emergency,American Airlines
P1951,62,Male,Medium,Gold,Neutral,1,0,0.0,5.2,235.3,1.0,Economy,Airport Kiosk,Business,JetBlue
P1952,22,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.0,369.31,0.0,Premium Economy,Mobile App,Leisure,United
P1953,45,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.6,352.56,9.0,Economy,Online,Family,American Airlines
P1954,22,Female,High,Non-Member,Highly Satisfied,1,0,0.0,8.1,164.14,3.0,Economy,Desk,Family,United
P1955,43,Male,High,Silver,Satisfied,1,0,0.0,6.8,353.17,1.0,Premium Economy,Airport Kiosk,Business,American Airlines
P1956,43,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,10.0,301.58,5.0,Premium Economy,Airport Kiosk,Business,JetBlue
P1957,29,Male,High,Non-Member,Highly Satisfied,1,0,0.0,8.4,404.99,2.0,Economy,Mobile App,Business,American Airlines
P1958,22,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.5,190.31,1.0,Economy,Mobile App,Leisure,Southwest
P1959,75,Male,High,Gold,Highly Satisfied,1,1,1.0,9.4,481.25,3.0,Economy,Online,Emergency,American Airlines
P196,45,Female,High,Non-Member,Satisfied,1,0,0.0,7.4,361.11,2.0,Business,Airport Kiosk,Leisure,United
P1960,18,Female,Low,Silver,Highly Satisfied,1,0,0.0,9.9,479.88,10.0,Economy,Desk,Leisure,JetBlue
P1961,64,Female,High,Gold,Satisfied,1,0,0.0,7.0,390.8,10.0,Economy,Online,Emergency,United
P1962,53,Male,High,Silver,Satisfied,1,0,0.0,6.8,385.97,15.0,Premium Economy,Mobile App,Leisure,Delta
P1963,48,Female,Low,Platinum,Neutral,1,0,0.0,6.1,368.38,3.0,Economy,Mobile App,Emergency,American Airlines
P1964,79,Female,Medium,Gold,Satisfied,1,0,0.0,7.5,269.7,5.0,Business,Online,Business,American Airlines
P1965,63,Male,Medium,Non-Member,Neutral,1,0,0.0,6.3,477.29,3.0,Economy,Desk,Emergency,Southwest
P1966,30,Male,Medium,Silver,Satisfied,1,0,0.0,7.8,350.73,2.0,Economy,Mobile App,Business,JetBlue
P1967,61,Female,Medium,Platinum,Satisfied,1,0,0.0,7.0,208.37,8.0,Business,Mobile App,Leisure,American Airlines
P1968,78,Male,Low,Platinum,Neutral,1,0,0.0,5.7,319.04,10.0,Economy,Desk,Business,Delta
P1969,49,Male,Medium,Non-Member,Neutral,1,0,0.0,5.6,452.82,9.0,Economy,Online,Business,Delta
P197,74,Male,Medium,Platinum,Highly Satisfied,1,0,0.0,8.1,350.91,18.0,Economy,Desk,Leisure,JetBlue
P1970,27,Female,Medium,Non-Member,Neutral,1,0,0.0,5.9,472.54,7.0,Premium Economy,Desk,Family,Southwest
P1971,30,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.2,262.77,15.0,Economy,Online,Emergency,Southwest
P1972,33,Female,Low,Platinum,Neutral,1,0,0.0,6.4,402.8,8.0,Economy,Desk,Leisure,Delta
P1973,57,Female,High,Non-Member,Satisfied,1,0,0.0,7.9,497.32,12.0,Economy,Mobile App,Leisure,JetBlue
P1974,77,Female,Medium,Gold,Neutral,1,0,0.0,6.4,388.23,19.0,Premium Economy,Online,Family,United
P1975,70,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.6,324.92,21.0,Business,Online,Emergency,Southwest
P1976,73,Male,Medium,Platinum,Satisfied,1,0,0.0,7.8,340.44,7.0,Economy,Online,Business,Southwest
P1977,59,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.6,365.85,19.0,Economy,Airport Kiosk,Leisure,United
P1978,39,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.6,395.95,9.0,Economy,Desk,Business,American Airlines
P1979,48,Female,Medium,Gold,Neutral,1,0,0.0,5.9,182.62,11.0,Business,Desk,Business,American Airlines
P198,48,Male,High,Non-Member,Satisfied,1,0,0.0,7.0,350.88,47.0,Business,Mobile App,Leisure,Delta
P1980,18,Male,Medium,Silver,Satisfied,1,0,0.0,6.7,431.94,11.0,Economy,Airport Kiosk,Emergency,JetBlue
P1981,66,Female,Medium,Non-Member,Neutral,1,0,0.0,5.4,402.35,6.0,Premium Economy,Airport Kiosk,Family,United
P1982,46,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.5,343.9,20.0,Economy,Airport Kiosk,Emergency,JetBlue
P1983,65,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.4,433.64,6.0,Premium Economy,Mobile App,Leisure,Delta
P1984,69,Female,Medium,Platinum,Satisfied,1,0,0.0,6.8,497.4,1.0,Business,Airport Kiosk,Leisure,JetBlue
P1985,46,Female,High,Non-Member,Dissatisfied,1,1,1.0,4.6,438.08,38.0,Premium Economy,Online,Business,United
P1986,43,Male,Low,Silver,Highly Satisfied,1,0,0.0,9.0,482.67,5.0,Economy,Mobile App,Emergency,Southwest
P1987,27,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.9,439.92,3.0,Business,Desk,Business,JetBlue
P1988,74,Male,High,Gold,Neutral,1,0,0.0,5.6,513.6,2.0,First,Online,Leisure,American Airlines
P1989,62,Female,High,Non-Member,Satisfied,1,0,0.0,7.3,359.05,2.0,Business,Online,Family,Southwest
P199,79,Female,Medium,Silver,Satisfied,1,1,1.0,6.6,541.6,0.0,Business,Airport Kiosk,Emergency,Delta
P1990,75,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,8.1,393.98,7.0,Economy,Online,Business,Delta
P1991,65,Male,Low,Platinum,Satisfied,1,0,0.0,6.6,241.54,6.0,Economy,Mobile App,Family,American Airlines
P1992,49,Male,Low,Non-Member,Satisfied,1,0,0.0,7.4,353.23,9.0,Premium Economy,Mobile App,Emergency,Delta
P1993,72,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.3,422.59,8.0,Economy,Mobile App,Emergency,Delta
P1994,20,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.3,308.95,3.0,Economy,Desk,Leisure,American Airlines
P1995,34,Male,Low,Non-Member,Neutral,1,0,0.0,5.1,338.33,10.0,Economy,Desk,Family,Delta
P1996,68,Male,Medium,Non-Member,Dissatisfied,1,0,0.0,4.7,175.89,11.0,Economy,Online,Family,JetBlue
P1997,29,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,3.7,249.04,6.0,Business,Airport Kiosk,Business,Southwest
P1998,23,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,10.0,314.84,3.0,Economy,Airport Kiosk,Family,American Airlines
